,Force,a
0,-1.2631536075354805e-07,1.0
1,-2.8420956169547967e-07,1.5
2,-5.052614430141922e-07,2.0
3,-7.894710047096713e-07,2.5
4,-1.1368382467819187e-06,3.0
5,-1.5473631692310514e-06,3.5
6,-2.0210457720567815e-06,4.0
7,-2.5578860552591544e-06,4.5
8,-3.1578840188387944e-06,5.0
9,-3.821039662794583e-06,5.5
10,-4.547352987127511e-06,6.0
11,-5.336823991835814e-06,6.5
12,-6.189452676926768e-06,7.0
13,-7.105239042383727e-06,7.5
14,-8.084183088350764e-06,8.0
15,-9.126284814749747e-06,8.5
16,-1.023154422116099e-05,9.0
17,-1.1399961307954365e-05,9.5
18,-1.2631536076464427e-05,10.0
